server_id,timestamp,cpu_utilization,memory_usage,disk_io_rate,network_io_rate,temperature_celsius,fan_speed_rpm,error_count_last_hour,uptime_days,server_age_days,server_type,server_usage,ai_workload,datacenter_location,log_message,failed_in_48h
server_102,2023-01-01 00:00:00,85.58340246975469,53.98044561155033,5.977266510581073,0.0,79.39519283220072,3083.129446382808,1.616635919818608,209.51817317511643,288.78354323635335,Type_3,compute,AI,AZ,memory leak detected | unexpected reboot | low disk space warning,0
server_179,2023-01-01 00:00:00,70.27883120108426,76.055051316365,1.3674161392850386,7.051243809884158,78.06765919017298,3996.6289489831547,1.90933870658829,160.4821837394351,352.6789690790439,Type_1,storage,Non-AI,NY,failed to mount volume | null pointer exception | failed to mount volume,0
server_92,2023-01-01 00:00:00,62.57369052972781,76.78779513172272,32.64987936763049,14.70461932668488,48.77852266127502,3534.7050910211524,1.2899665878805493,0.0,912.8546838720038,Type_12,storage,Non-AI,NY,critical system error,0
server_14,2023-01-01 00:00:00,22.93244648651218,41.06166860480987,2.0033719117860147,12.190690942536408,69.1111756482119,3114.518973667743,0.909934949801346,406.86112023497077,1081.211460242203,Type_15,compute,AI,OR,kernel panic occurred | unexpected reboot | unexpected reboot,0
server_106,2023-01-01 00:00:00,45.488092466433365,81.45920369633016,2.804054278530158,5.460828164541057,69.0998468528463,2671.301012801028,0.0,366.68346513935694,1165.6332433828502,Type_10,compute,Non-AI,TX,critical system error | null pointer exception | kernel panic occurred,0
server_71,2023-01-01 00:00:00,62.873407551755726,68.20332146918513,10.788519989566058,31.433780750336943,66.82464516214365,3811.894740924675,3.0040207729013666,3.3465647266355463,1245.1926900179574,Type_3,compute,Non-AI,IL,disk I/O error | low disk space warning,0
server_188,2023-01-01 00:00:00,64.20267654901244,69.74082155211399,13.680011641199053,4.609628645254337,69.63153888147028,2946.231827963246,1.4695711474463369,703.5921474389672,773.6628906755794,Type_16,compute,Non-AI,OR,disk I/O error | unexpected reboot | low disk space warning,0
server_20,2023-01-01 00:00:00,57.052351834208466,71.23860475866671,0.0,10.09827072993945,72.24630715326364,3167.916054521864,1.041699851653352,236.12133463770516,835.2173878663764,Type_15,compute,Non-AI,AZ,network timeout | network timeout,0
server_102,2023-01-01 00:00:00,68.92432665824917,92.47218008614118,34.33373986081104,2.512980332828859,76.07963586301275,3388.3399094273746,0.6819571454534146,212.12231012784534,653.342985586384,Type_14,storage,Non-AI,CA,memory leak detected | network timeout | network timeout,0
server_121,2023-01-01 00:00:00,77.23318471090002,61.64359352712685,0.0,0.0,81.75867597633356,3067.44079954224,1.566152415514974,318.5703044603831,461.46093920329304,Type_5,storage,AI,VA,disk I/O error | GPU overheating | disk I/O error,0
